date,close
2019-12-24,32.4300
2019-12-25,30.6200
2019-12-26,28.4300
2019-12-27,28.0200
2019-12-30,26.8300
2019-12-31,27.1600
2020-01-02,27.2000
2020-01-03,26.7800
2020-01-06,26.4000
2020-01-07,26.7700
2020-01-08,26.3800
2020-01-09,26.5400
2020-01-10,26.7900
2020-01-13,26.8700
2020-01-14,26.7800
2020-01-15,26.3800
2020-01-16,26.4300
2020-01-17,26.2300
2020-01-20,26.1300
2020-01-21,25.3500
2020-01-22,24.9000
2020-01-23,24.2100
2020-02-03,21.7900
2020-02-04,20.4800
2020-02-05,21.1200
2020-02-06,21.2600
2020-02-07,21.5400
2020-02-10,21.8200
2020-02-11,24.0000
2020-02-12,23.6500
2020-02-13,22.9500
2020-02-14,23.3800
2020-02-17,23.6800
2020-02-18,23.5100
2020-02-19,23.6700
2020-02-20,23.8500
2020-02-21,23.8900
2020-02-24,23.4800
2020-02-25,22.8000
2020-02-26,23.0600
2020-02-27,22.9800
2020-02-28,21.7500
2020-03-02,22.6600
2020-03-03,22.8400
2020-03-04,23.4800
2020-03-05,23.5500
2020-03-06,23.3600
2020-03-09,22.6200
2020-03-10,22.7400
2020-03-11,22.7100
2020-03-12,22.2500
2020-03-13,21.4500
2020-03-16,20.9300
2020-03-17,20.5300
2020-03-18,20.3500
2020-03-19,20.5400
2020-03-20,20.8100
2020-03-23,20.1100
2020-03-24,20.8900
2020-03-25,21.1900
2020-03-26,21.2600
2020-03-27,21.7900
2020-03-30,21.1000
2020-03-31,20.9800
2020-04-01,20.8800
2020-04-02,21.1300
2020-04-03,20.9300
2020-04-07,21.2800
2020-04-08,21.4700
2020-04-09,21.3700
2020-04-10,21.0900
2020-04-13,20.9100
2020-04-14,21.3600
2020-04-15,21.7900
2020-04-16,21.5000
2020-04-17,22.0000
2020-04-20,23.2200
2020-04-21,22.9900
2020-04-22,22.7000
2020-04-23,22.2200
2020-04-24,22.4400
2020-04-27,22.0800
2020-04-28,20.9700
2020-04-29,21.0600
2020-04-30,21.5000
2020-05-06,21.8000
2020-05-07,21.8700
2020-05-08,22.6300
2020-05-11,22.5800
2020-05-12,22.6800
2020-05-13,22.5500
2020-05-14,21.9700
2020-05-15,22.8100
2020-05-18,23.5600
2020-05-19,23.8100
2020-05-20,23.4100
2020-05-21,22.9000
2020-05-22,23.3500
2020-05-25,22.8600
2020-05-26,24.1700
2020-05-27,23.5200
2020-05-28,24.3400
2020-05-29,24.3000
2020-06-01,24.3400
2020-06-02,23.9200
2020-06-03,23.7600
2020-06-04,23.5900
2020-06-05,23.8400
2020-06-08,23.8000
2020-06-09,23.7800
2020-06-10,23.6400
2020-06-11,23.2000
2020-06-12,22.3200
2020-06-15,21.7000
2020-06-16,22.1900
2020-06-17,22.2100
2020-06-18,22.8800
2020-06-19,23.0000
2020-06-22,24.3700
2020-06-23,25.5000
2020-06-24,25.3200
2020-06-29,26.2600
