date,close
2020-09-01,78.0000
2020-09-02,53.2500
2020-09-03,48.1000
2020-09-04,43.1200
2020-09-07,43.6200
2020-09-08,38.4500
2020-09-09,34.2500
2020-09-10,31.7000
2020-09-11,33.0000
2020-09-14,34.8000
2020-09-15,36.0100
2020-09-16,43.2100
2020-09-17,51.8500
2020-09-18,46.0800
2020-09-21,47.2000
2020-09-22,41.9000
2020-09-23,42.9900
2020-09-24,43.7300
2020-09-25,39.7200
2020-09-28,36.2000
2020-09-29,36.2000
2020-09-30,36.2100
2020-10-09,39.1000
2020-10-12,43.1500
2020-10-13,42.0300
2020-10-14,44.4400
2020-10-15,42.8000
2020-10-16,41.9500
2020-10-19,40.6000
2020-10-20,43.8800
2020-10-21,49.9900
2020-10-22,47.8700
2020-10-23,49.0000
2020-10-26,54.0300
2020-10-27,50.1500
2020-10-28,51.0900
2020-10-29,46.3100
2020-10-30,44.4400
2020-11-02,46.5000
2020-11-03,46.1800
2020-11-04,46.0400
2020-11-05,49.6000
2020-11-06,47.2100
2020-11-09,47.2300
2020-11-10,44.0300
2020-11-11,44.1800
2020-11-12,40.3600
2020-11-13,40.4000
2020-11-16,43.9500
2020-11-17,42.7300
2020-11-18,42.8600
2020-11-19,41.4100
2020-11-20,41.3200
2020-11-23,42.7800
2020-11-24,41.4000
2020-11-25,38.8700
2020-11-26,39.2200
2020-11-27,40.4000
2020-11-30,39.1600
2020-12-01,39.7500
2020-12-02,40.1100
2020-12-03,39.6600
2020-12-04,38.9500
2020-12-07,38.8900
2020-12-08,39.5900
2020-12-09,38.8800
2020-12-10,46.4600
2020-12-11,43.3200
2020-12-14,41.8000
2020-12-15,41.7000
2020-12-16,38.5000
2020-12-17,38.8400
2020-12-18,37.6000
2020-12-21,37.6600
2020-12-22,34.9500
2020-12-23,34.3200
2020-12-24,34.1100
2020-12-25,34.7700
2020-12-28,34.2100
2020-12-29,33.9900
2020-12-30,33.9800
2020-12-31,34.6100
2021-01-04,35.6000
2021-01-05,35.1000
2021-01-06,33.0100
2021-01-07,33.5700
2021-01-08,30.9000
2021-01-11,28.5300
2021-01-12,28.7200
2021-01-13,27.1200
2021-01-14,28.1600
2021-01-15,30.9900
2021-01-18,30.9200
2021-01-19,31.2000
2021-01-20,32.2000
2021-01-21,30.8900
2021-01-22,29.8800
2021-01-25,28.8000
2021-01-26,29.2200
2021-01-27,30.2800
2021-01-28,29.1900
2021-01-29,30.0200
2021-02-01,31.0800
2021-02-02,29.2200
2021-02-03,27.9500
2021-02-04,28.7200
2021-02-05,27.5000
2021-02-08,25.9800
2021-02-09,26.2300
2021-02-10,26.2000
2021-02-18,27.6000
