Code,Loss,MAS,MSE
sh.601003,0.00011064334830734879,0.004895916674286127,6.901356436157056e-06
sz.000825,0.00020970222249161452,0.006420801393687725,4.5460050233505034e-05
sz.000898,0.00017691751418169588,0.006553836166858673,3.989618014064e-05
sh.600808,0.00015137740410864353,0.006658805068582296,6.716174871176602e-05
sh.600307,0.00016695060185156763,0.006708735134452581,5.403153054919496e-05
sz.002318,0.0002164483885280788,0.006926069501787424,1.7194196732732408e-05
sz.000709,0.0002126419567503035,0.0075374506413936615,2.4235839596536075e-05
sh.600399,0.0002554020029492676,0.007703373674303293,0.00036181730595642123
sh.600282,0.00025111594004556537,0.007720620837062597,1.4878190797830808e-05
sh.600022,0.00025018598535098135,0.0077539230696856976,4.637850683421391e-05
sh.600019,0.00024852220667526126,0.008388514630496502,5.015255204226924e-05
sh.600569,0.0002566843759268522,0.008780933916568756,2.1974380964187856e-05
sz.000761,0.00028975680470466614,0.009443873539566994,6.5782618926407e-05
sh.600117,0.0003240742371417582,0.00962413102388382,1.8578920028425932e-05
sh.603878,0.00037746736779809,0.010728568769991398,0.00011343284468752835
sh.600782,0.00043306269799359143,0.011970852501690388,4.2476599103723626e-05
sz.000708,0.00038504693657159805,0.012188157998025417,0.0011087634981770365
sh.600581,0.00045736745232716203,0.012211437337100506,4.70471982786541e-05
sh.601005,0.0005128608318045735,0.012406027875840664,2.3339394560301807e-05
sz.002075,0.0005241670878604054,0.012589925900101662,1.1421139542265353e-05
sz.002443,0.00055741798132658,0.013277141377329826,3.943392431172092e-05
sz.002478,0.0005238860030658543,0.014507031068205833,4.447355947866376e-05
sz.000932,0.000524194329045713,0.014844033867120743,0.0002337606056478535
sh.600507,0.0005325115635059774,0.015076248906552792,0.00011778610108792137
sh.600126,0.0005354766035452485,0.015234438702464104,7.028447924906083e-05
sz.002756,0.0007796980207785964,0.015638291835784912,0.00040860676864072355
sz.000717,0.0005650718812830746,0.01569068804383278,4.352973048591614e-05
sz.000959,0.0006572865531779826,0.016664881259202957,0.00028418155998389486
sz.002110,0.0007380149909295142,0.016698233783245087,2.8679810005169242e-05
sh.600010,0.0006512485560961068,0.01687912456691265,3.484580760947064e-05
sh.600231,0.0007814083946868777,0.017787551507353783,4.102192914817522e-05
sh.688186,0.0011057950323447585,0.0209062360227108,7.504933076591209e-05
sz.000778,0.0010085434187203646,0.021122876554727554,4.579298979466471e-05
sh.601686,0.0010637654922902584,0.021794723346829414,0.0001561493792632334
sh.603995,0.0016267957398667932,0.02682262472808361,0.00014846010151331853
sz.300881,0.0024808186572045088,0.033517494797706604,0.0003568536656198136
